# ENERGY SUPPLY CHARGE/DISCHARGE CYCLE EXAMPLE,
#,
# time [s], power [kW]
0,15
241,15
482,15
724,15
965,15
1206,15
1448,15
1689,15
1930,15
2172,15
2413,15
2654,15
2896,15
3137,15
3378,15
3620,15
3861,15
4102,15
4344,15
4585,15
4826,15
5068,15
5309,15
5550,15
5792,15
6033,15
6274,15
6516,15
6757,15
6998,15
7240,15
7481,15
7722,15
7964,15
8205,15
8446,15
8688,15
8929,15
9170,15
9412,15
9653,15
9894,15
10136,15
10377,15
10618,15
10860,0
11101,0
11343,0
11584,0
11825,0
12067,0
12308,0
12549,0
12791,0
13032,0
13273,0
13515,0
13756,0
13997,0
14239,0
14480,0
14721,0
14963,0
15204,0
15445,0
15687,0
15928,0
16169,0
16411,0
16652,0
16893,0
17135,0
17376,0
17617,0
17859,0
18100,0
18341,0
18583,0
18824,0
19065,0
19307,0
19548,0
19789,0
20031,0
20272,0
20513,0
20755,0
20996,0
21237,0
21479,0
21720,0
21962,0
22203,0
22444,0
22686,0
22927,0
23168,0
23410,0
23651,0
23892,0
24134,0
24375,0
24616,0
24858,0
25099,0
25340,0
25582,0
25823,0
26064,0
26306,0
26547,0
26788,0
27030,0
27271,0
27512,0
27754,0
27995,0
28236,0
28478,0
28719,0
28960,0
29202,0
29443,0
29684,0
29926,0
30167,0
30408,0
30650,0
30891,0
31132,0
31374,0
31615,0
31856,0
32098,0
32339,0
32581,0
32822,0
33063,0
33305,0
33546,0
33787,0
34029,0
34270,0
34511,0
34753,0
34994,0
35235,0
35477,0
35718,0
35959,0
36201,0
36442,0
36683,0
36925,0
37166,0
37407,0
37649,0
37890,0
38131,0
38373,0
38614,0
38855,0
39097,0
39338,0
39579,0
39821,0
40062,0
40303,0
40545,0
40786,0
41027,0
41269,0
41510,0
41751,0
41993,0
42234,0
42475,0
42717,0
42958,0
43200,0
