# ENERGY SUPPLY GROUP 01,,,,
# 57.0 m² of solar panels on the roof of an apartment block in Eindhoven.,,,,
#,,,,
# time [s], power [kW],,Energy produced in kWh,Total kWh
0,0,,0,17520
900,0,,0,
1800,0,,0,
2700,0,,0,
3600,0,,0,
4500,0,,0,
5400,0,,0,
6300,0,,0,
7200,0,,0,
8100,0,,0,
9000,0,,0,
9900,0,,0,
10800,0,,0,
11700,0,,0,
12600,0,,0,
13500,0,,0,
14400,0,,0,
15300,0,,0,
16200,0,,0,
17100,0,,0,
18000,0,,0,
18900,0,,0,
19800,0,,0,
20700,0,,0,
21600,0,,0,
22500,0,,0,
23400,0,,0,
24300,0,,0,
25200,0,,0,
26100,0,,0,
27000,0,,0,
27900,0,,0,
28800,0.167939,,0.04198475,
29700,0.335878,,0.0839695,
30600,0.556297,,0.13907425,
31500,0.766221,,0.19155525,
32400,1.007633,,0.25190825,
33300,1.228052,,0.307013,
34200,1.448472,,0.362118,
35100,1.626907,,0.40672675,
36000,1.815838,,0.4539595,
36900,1.983777,,0.49594425,
37800,2.130723,,0.53268075,
38700,2.256677,,0.56416925,
39600,2.351143,,0.58778575,
40500,2.424616,,0.606154,
41400,2.456105,,0.61402625,
42300,2.456105,,0.61402625,
43200,2.445608,,0.611402,
44100,2.403624,,0.600906,
45000,2.33015,,0.5825375,
45900,2.235685,,0.55892125,
46800,2.109731,,0.52743275,
47700,1.952288,,0.488072,
48600,1.784349,,0.44608725,
49500,1.56393,,0.3909825,
50400,1.354006,,0.3385015,
51300,1.123091,,0.28077275,
52200,0.892175,,0.22304375,
53100,0.650763,,0.16269075,
54000,0.440839,,0.11020975,
54900,0.251908,,0.062977,
55800,0,,0,
56700,0,,0,
57600,0,,0,
58500,0,,0,
59400,0,,0,
60300,0,,0,
61200,0,,0,
62100,0,,0,
63000,0,,0,
63900,0,,0,
64800,0,,0,
65700,0,,0,
66600,0,,0,
67500,0,,0,
68400,0,,0,
69300,0,,0,
70200,0,,0,
71100,0,,0,
72000,0,,0,
72900,0,,0,
73800,0,,0,
74700,0,,0,
75600,0,,0,
76500,0,,0,
77400,0,,0,
78300,0,,0,
79200,0,,0,
80100,0,,0,
81000,0,,0,
81900,0,,0,
82800,0,,0,
83700,0,,0,
84600,0,,0,
85500,0,,0,
86400,0,,0,
87300,0,,0,
88200,0,,0,
89100,0,,0,
90000,0,,0,
90900,0,,0,
91800,0,,0,
92700,0,,0,
93600,0,,0,
94500,0,,0,
95400,0,,0,
96300,0,,0,
97200,0,,0,
98100,0,,0,
99000,0,,0,
99900,0,,0,
100800,0,,0,
101700,0,,0,
102600,0,,0,
103500,0,,0,
104400,0,,0,
105300,0,,0,
106200,0,,0,
107100,0,,0,
108000,0,,0,
108900,0,,0,
109800,0,,0,
110700,0,,0,
111600,0,,0,
112500,0,,0,
113400,0,,0,
114300,0,,0,
115200,0.167939,,0.04198475,
116100,0.346374,,0.0865935,
117000,0.556297,,0.13907425,
117900,0.776717,,0.19417925,
118800,1.018129,,0.25453225,
119700,1.249045,,0.31226125,
120600,1.469464,,0.367366,
121500,1.689884,,0.422471,
122400,1.878815,,0.46970375,
123300,2.046754,,0.5116885,
124200,2.1937,,0.548425,
125100,2.309158,,0.5772895,
126000,2.393128,,0.598282,
126900,2.466601,,0.61665025,
127800,2.498089,,0.62452225,
128700,2.519082,,0.6297705,
129600,2.498089,,0.62452225,
130500,2.456105,,0.61402625,
131400,2.372135,,0.59303375,
132300,2.267173,,0.56679325,
133200,2.130723,,0.53268075,
134100,1.983777,,0.49594425,
135000,1.805342,,0.4513355,
135900,1.605915,,0.40147875,
136800,1.395991,,0.34899775,
137700,1.165075,,0.29126875,
138600,0.923663,,0.23091575,
139500,0.692747,,0.17318675,
140400,0.472328,,0.118082,
141300,0.272901,,0.06822525,
142200,0,,0,
143100,0,,0,
144000,0,,0,
144900,0,,0,
145800,0,,0,
146700,0,,0,
147600,0,,0,
148500,0,,0,
149400,0,,0,
150300,0,,0,
151200,0,,0,
152100,0,,0,
153000,0,,0,
153900,0,,0,
154800,0,,0,
155700,0,,0,
156600,0,,0,
157500,0,,0,
158400,0,,0,
159300,0,,0,
160200,0,,0,
161100,0,,0,
162000,0,,0,
162900,0,,0,
163800,0,,0,
164700,0,,0,
165600,0,,0,
166500,0,,0,
167400,0,,0,
168300,0,,0,
169200,0,,0,
170100,0,,0,
171000,0,,0,
171900,0,,0,
172800,0,,0,
173700,0,,0,
174600,0,,0,
175500,0,,0,
176400,0,,0,
177300,0,,0,
178200,0,,0,
179100,0,,0,
180000,0,,0,
180900,0,,0,
181800,0,,0,
182700,0,,0,
183600,0,,0,
184500,0,,0,
185400,0,,0,
186300,0,,0,
187200,0,,0,
188100,0,,0,
189000,0,,0,
189900,0,,0,
190800,0,,0,
191700,0,,0,
192600,0,,0,
193500,0,,0,
194400,0,,0,
195300,0,,0,
196200,0,,0,
197100,0,,0,
198000,0,,0,
198900,0,,0,
199800,0,,0,
200700,0,,0,
201600,0.167939,,0.04198475,
202500,0.335878,,0.0839695,
203400,0.545801,,0.13645025,
204300,0.776717,,0.19417925,
205200,1.007633,,0.25190825,
206100,1.238548,,0.309637,
207000,1.458968,,0.364742,
207900,1.679388,,0.419847,
208800,1.868319,,0.46707975,
209700,2.036258,,0.5090645,
210600,2.183204,,0.545801,
211500,2.319654,,0.5799135,
212400,2.41412,,0.60353,
213300,2.477097,,0.61927425,
214200,2.519082,,0.6297705,
215100,2.561066,,0.6402665,
216000,2.540074,,0.6350185,
216900,2.498089,,0.62452225,
217800,2.424616,,0.606154,
218700,2.319654,,0.5799135,
219600,2.1937,,0.548425,
220500,2.036258,,0.5090645,
221400,1.857823,,0.46445575,
222300,1.668892,,0.417223,
223200,1.448472,,0.362118,
224100,1.217556,,0.304389,
225000,0.976144,,0.244036,
225900,0.734732,,0.183683,
226800,0.503816,,0.125954,
227700,0.293893,,0.07347325,
228600,0.13645,,0.0341125,
229500,0,,0,
230400,0,,0,
231300,0,,0,
232200,0,,0,
233100,0,,0,
234000,0,,0,
234900,0,,0,
235800,0,,0,
236700,0,,0,
237600,0,,0,
238500,0,,0,
239400,0,,0,
240300,0,,0,
241200,0,,0,
242100,0,,0,
243000,0,,0,
243900,0,,0,
244800,0,,0,
245700,0,,0,
246600,0,,0,
247500,0,,0,
248400,0,,0,
249300,0,,0,
250200,0,,0,
251100,0,,0,
252000,0,,0,
252900,0,,0,
253800,0,,0,
254700,0,,0,
255600,0,,0,
256500,0,,0,
257400,0,,0,
258300,0,,0,
259200,0,,0,
260100,0,,0,
261000,0,,0,
261900,0,,0,
262800,0,,0,
263700,0,,0,
264600,0,,0,
265500,0,,0,
266400,0,,0,
267300,0,,0,
268200,0,,0,
269100,0,,0,
270000,0,,0,
270900,0,,0,
271800,0,,0,
272700,0,,0,
273600,0,,0,
274500,0,,0,
275400,0,,0,
276300,0,,0,
277200,0,,0,
278100,0,,0,
279000,0,,0,
279900,0,,0,
280800,0,,0,
281700,0,,0,
282600,0,,0,
283500,0,,0,
284400,0,,0,
285300,0,,0,
286200,0,,0,
287100,0,,0,
288000,0.178435,,0.04460875,
288900,0.367366,,0.0918415,
289800,0.587786,,0.1469465,
290700,0.829198,,0.2072995,
291600,1.07061,,0.2676525,
292500,1.312022,,0.3280055,
293400,1.532441,,0.38311025,
294300,1.752861,,0.43821525,
295200,1.941792,,0.485448,
296100,2.109731,,0.52743275,
297000,2.267173,,0.56679325,
297900,2.382631,,0.59565775,
298800,2.477097,,0.61927425,
299700,2.540074,,0.6350185,
300600,2.582059,,0.64551475,
301500,2.571562,,0.6428905,
302400,2.55057,,0.6376425,
303300,2.508585,,0.62714625,
304200,2.435112,,0.608778,
305100,2.33015,,0.5825375,
306000,2.1937,,0.548425,
306900,2.036258,,0.5090645,
307800,1.857823,,0.46445575,
308700,1.658395,,0.41459875,
309600,1.437976,,0.359494,
310500,1.20706,,0.301765,
311400,0.976144,,0.244036,
312300,0.724236,,0.181059,
313200,0.49332,,0.12333,
314100,0.293893,,0.07347325,
315000,0.13645,,0.0341125,
315900,0,,0,
316800,0,,0,
317700,0,,0,
318600,0,,0,
319500,0,,0,
320400,0,,0,
