Weight,Temp_Bottom,Temp_Middle,Temp_Top,Current,Voltage,Energy_Q
777.31,25.40,30.90,23.70,0.00,0.00,-158.100
778.18,25.30,30.90,23.80,0.00,0.00,0.000
778.20,25.20,30.90,23.90,0.00,0.00,0.000
778.14,25.00,30.90,23.90,0.00,0.00,0.000
778.11,24.80,31.00,24.00,0.00,0.00,0.000
777.99,24.50,31.20,24.00,0.00,0.00,0.000
777.94,24.40,31.50,24.10,0.00,0.00,0.000
777.97,24.40,31.70,24.20,0.00,0.00,0.000
777.98,24.40,32.00,24.30,0.00,0.00,0.000
778.07,24.40,32.30,24.50,0.00,0.00,0.000
777.94,24.30,33.10,24.60,0.00,0.00,0.000
777.91,24.30,33.60,24.70,0.00,0.00,0.000
777.88,24.30,34.10,24.90,0.00,0.00,0.000
777.90,24.30,34.70,25.00,0.00,0.00,0.000
777.80,24.30,35.30,25.10,0.00,0.00,0.000
777.84,24.30,36.60,25.40,0.00,0.00,0.000
777.76,24.40,37.30,25.60,0.00,0.00,0.000
777.75,24.40,38.00,25.80,0.00,0.00,0.000
777.70,24.40,38.70,25.90,0.00,0.00,0.000
777.79,24.50,40.20,26.10,0.00,0.00,0.000
777.63,24.50,41.70,26.60,0.00,0.00,0.000
777.60,24.60,42.50,26.80,0.00,0.00,0.000
777.60,24.60,44.00,27.00,0.00,0.00,0.000
777.62,24.60,44.80,27.20,0.00,0.00,0.000
777.58,24.70,45.50,27.60,0.00,0.00,0.000
777.53,24.70,47.00,27.80,0.00,0.00,0.000
777.44,24.80,47.80,28.00,0.00,0.00,0.000
777.35,24.80,48.50,28.20,0.00,0.00,0.000
777.33,24.90,49.30,28.40,0.00,0.00,0.000
777.42,24.90,50.70,28.90,0.00,0.00,0.000
777.34,25.00,51.40,29.10,0.00,0.00,0.000
777.34,25.00,52.10,29.30,0.00,0.00,0.000
777.29,25.00,52.80,29.50,0.00,0.00,0.000
777.22,25.00,54.20,29.70,0.00,0.00,0.000
777.14,25.00,54.80,30.10,0.00,0.00,0.000
777.08,25.00,55.50,30.30,0.00,0.00,0.000
777.04,25.10,56.20,30.60,0.00,0.00,0.000
777.05,25.00,57.40,30.80,0.00,0.00,0.000
776.88,25.10,58.00,31.00,0.00,0.00,0.000
776.89,25.10,58.60,31.40,0.00,0.00,0.000
776.83,25.10,59.70,31.60,0.00,0.00,0.000
776.80,25.10,60.20,31.80,0.00,0.00,0.000
776.75,25.10,60.70,32.00,0.00,0.00,0.000
776.68,25.20,61.20,32.20,0.00,0.00,0.000
776.56,25.20,62.20,32.60,0.00,0.00,0.000
776.53,25.20,62.70,32.80,0.00,0.00,0.000
776.45,25.20,63.10,33.00,0.00,0.00,0.000
776.51,25.20,63.60,33.20,0.00,0.00,0.000
776.37,25.20,64.40,33.30,0.00,0.00,0.000
776.27,25.30,64.80,33.70,0.00,0.00,0.000
776.33,25.30,65.20,33.90,0.00,0.00,0.000
776.30,25.30,65.90,34.10,0.00,0.00,0.000
776.10,25.20,66.30,34.20,0.00,0.00,0.000
776.17,25.20,66.70,34.40,0.00,0.00,0.000
776.04,25.30,67.30,34.80,0.00,0.00,0.000
775.91,25.30,67.60,34.90,0.00,0.00,0.000
775.97,25.40,67.90,35.10,0.00,0.00,0.000
775.89,25.50,68.50,35.20,0.00,0.00,0.000
775.91,25.60,125.00,35.40,0.00,0.00,0.000
775.87,25.60,125.00,35.70,0.00,0.00,0.000
775.71,25.60,125.00,35.80,0.00,0.00,0.000
775.72,25.60,125.00,36.00,0.00,0.00,0.000
775.64,25.60,125.00,36.10,0.00,0.00,0.000
775.52,25.60,125.00,36.20,0.00,0.00,0.000
775.50,25.70,125.00,36.50,0.00,0.00,0.000
775.47,25.70,125.00,36.60,0.00,0.00,0.000
775.37,25.80,125.00,36.80,0.00,0.00,0.000
775.36,25.90,125.00,37.00,0.00,0.00,0.000
775.22,26.00,125.00,37.00,0.00,0.00,0.000
775.28,26.00,125.00,37.30,0.00,0.00,0.000
775.14,26.00,125.00,37.50,0.00,0.00,0.000
775.18,26.00,125.00,37.70,0.00,0.00,0.000
775.08,26.00,125.00,37.80,0.00,0.00,0.000
774.96,26.00,125.00,37.90,0.00,0.00,0.000
775.00,26.00,125.00,38.20,0.00,0.00,0.000
774.88,26.00,125.00,38.30,0.00,0.00,0.000
774.78,26.00,125.00,38.50,0.00,0.00,0.000
774.75,26.00,125.00,38.60,0.00,0.00,0.000
774.70,26.10,125.00,38.80,0.00,0.00,0.000
774.68,26.10,125.00,39.00,0.00,0.00,0.000
774.56,26.10,125.00,39.10,0.00,0.00,0.000
774.48,26.10,125.00,39.30,0.00,0.00,0.000
774.43,26.10,125.00,39.40,0.00,0.00,0.000
774.44,26.10,125.00,39.50,0.00,0.00,0.000
774.40,26.00,125.00,39.70,0.00,0.00,0.000
774.39,25.90,125.00,39.70,0.00,0.00,0.000
774.38,25.80,125.00,39.80,0.00,0.00,0.000
774.23,25.70,125.00,39.80,0.00,0.00,0.000
774.22,25.60,125.00,39.90,0.00,0.00,0.000
774.13,25.50,125.00,39.90,0.00,0.00,0.000
774.06,25.40,125.00,39.80,0.00,0.00,0.000
774.07,25.40,125.00,39.80,0.00,0.00,0.000
773.97,25.30,125.00,39.80,0.00,0.00,0.000
774.28,25.30,125.00,39.70,0.00,0.00,0.000
774.20,25.20,125.00,39.60,0.00,0.00,0.000
774.12,25.20,125.00,39.50,0.00,0.00,0.000
774.02,25.20,125.00,39.50,0.00,0.00,0.000
774.04,25.20,125.00,39.40,0.00,0.00,0.000
773.87,25.30,125.00,39.30,0.00,0.00,0.000
773.92,25.30,125.00,39.20,0.00,0.00,0.000
773.87,25.30,125.00,39.10,0.00,0.00,0.000
773.77,25.40,125.00,39.10,0.00,0.00,0.000
773.73,25.40,125.00,39.00,0.00,0.00,0.000
773.65,25.40,125.00,38.90,0.00,0.00,0.000
773.66,25.40,125.00,38.80,0.00,0.00,0.000
773.60,25.40,125.00,38.80,0.00,0.00,0.000
773.58,25.40,125.00,38.80,0.00,0.00,0.000
773.53,25.40,125.00,38.70,0.00,0.00,0.000
773.47,25.50,125.00,38.80,0.00,0.00,0.000
773.46,25.50,125.00,38.80,0.00,0.00,0.000
773.34,25.50,125.00,38.80,0.00,0.00,0.000
773.35,25.50,125.00,38.80,0.00,0.00,0.000
773.23,25.60,125.00,38.90,0.00,0.00,0.000
773.18,25.70,125.00,38.90,0.00,0.00,0.000
773.15,25.80,125.00,39.00,0.00,0.00,0.000
773.10,25.90,125.00,39.10,0.00,0.00,0.000
773.12,25.90,125.00,39.10,0.00,0.00,0.000
773.04,25.90,125.00,39.20,0.00,0.00,0.000
772.95,25.90,125.00,39.30,0.00,0.00,0.000
772.94,26.00,125.00,39.50,0.00,0.00,0.000
772.85,26.00,125.00,39.50,0.00,0.00,0.000
772.83,26.00,125.00,39.60,0.00,0.00,0.000
772.80,26.00,125.00,39.70,0.00,0.00,0.000
772.76,26.00,125.00,39.80,0.00,0.00,0.000
772.65,26.00,125.00,40.00,0.00,0.00,0.000
772.62,26.10,125.00,125.00,0.00,0.00,0.000
772.50,26.10,125.00,125.00,0.00,0.00,0.000
772.46,26.10,125.00,125.00,0.00,0.00,0.000
772.45,26.10,125.00,125.00,0.00,0.00,0.000
772.35,26.30,125.00,125.00,0.00,0.00,0.000
772.32,26.40,125.00,125.00,0.00,0.00,0.000
772.29,26.40,125.00,125.00,0.00,0.00,0.000
772.21,26.50,125.00,125.00,0.00,0.00,0.000
772.22,26.50,125.00,125.00,0.00,0.00,0.000
772.16,26.50,125.00,125.00,0.00,0.00,0.000
772.12,26.50,125.00,125.00,0.00,0.00,0.000
772.05,26.60,125.00,125.00,0.00,0.00,0.000
771.94,26.60,125.00,125.00,0.00,0.00,0.000
772.03,26.50,125.00,125.00,0.00,0.00,0.000
771.93,26.50,125.00,125.00,0.00,0.00,0.000
771.88,26.40,125.00,125.00,0.00,0.00,0.000
771.88,26.30,125.00,125.00,0.00,0.00,0.000
771.79,26.20,125.00,125.00,0.00,0.00,0.000
771.68,26.10,125.00,125.00,0.00,0.00,0.000
771.66,25.90,125.00,125.00,0.00,0.00,0.000
771.65,25.80,125.00,125.00,0.00,0.00,0.000
771.59,25.70,125.00,125.00,0.00,0.00,0.000
771.57,25.60,125.00,125.00,0.00,0.00,0.000
771.49,25.50,125.00,125.00,0.00,0.00,0.000
771.40,25.40,125.00,125.00,0.00,0.00,0.000
771.41,25.30,125.00,125.00,0.00,0.00,0.000
771.37,25.30,125.00,125.00,0.00,0.00,0.000
771.32,25.20,125.00,125.00,0.00,0.00,0.000
771.29,25.10,125.00,125.00,0.00,0.00,0.000
771.28,25.00,125.00,125.00,0.00,0.00,0.000
771.19,25.00,125.00,125.00,0.00,0.00,0.000
771.18,24.90,125.00,125.00,0.00,0.00,0.000
771.18,24.90,125.00,125.00,0.00,0.00,0.000
771.12,24.90,125.00,125.00,0.00,0.00,0.000
771.10,24.90,62.50,125.00,0.00,0.00,0.000
771.02,25.00,125.00,125.00,0.00,0.00,0.000
771.01,25.00,125.00,125.00,0.00,0.00,0.000
770.98,25.10,62.50,125.00,0.00,0.00,0.000
770.88,25.10,125.00,125.00,0.00,0.00,0.000
770.86,25.20,125.00,125.00,0.00,0.00,0.000
770.84,25.20,62.50,125.00,0.00,0.00,0.000
770.75,25.30,125.00,125.00,0.00,0.00,0.000
